-10.649999095669399 + 0.0im	3.6032540055810453e-6 + 0.0im
-10.634291132401449 + 0.0im	3.612925566551089e-6 + 0.0im
-10.618583169133501 + 0.0im	3.6226362344068123e-6 + 0.0im
-10.602875205865551 + 0.0im	3.6323862208926013e-6 + 0.0im
-10.587167242597603 + 0.0im	3.642175739192146e-6 + 0.0im
-10.571459279329654 + 0.0im	3.652005003940161e-6 + 0.0im
-10.555751316061706 + 0.0im	3.661874231234327e-6 + 0.0im
-10.540043352793756 + 0.0im	3.671783638647292e-6 + 0.0im
-10.524335389525806 + 0.0im	3.6817334452388336e-6 + 0.0im
-10.508627426257858 + 0.0im	3.691723871568065e-6 + 0.0im
-10.492919462989908 + 0.0im	3.701755139705823e-6 + 0.0im
-10.47721149972196 + 0.0im	3.7118274732471907e-6 + 0.0im
-10.46150353645401 + 0.0im	3.721941097324023e-6 + 0.0im
-10.445795573186063 + 0.0im	3.732096238617774e-6 + 0.0im
-10.430087609918113 + 0.0im	3.742293125372283e-6 + 0.0im
-10.414379646650165 + 0.0im	3.7525319874067556e-6 + 0.0im
-10.398671683382215 + 0.0im	3.762813056128943e-6 + 0.0im
-10.382963720114267 + 0.0im	3.7731365645482645e-6 + 0.0im
-10.367255756846317 + 0.0im	3.7835027472892607e-6 + 0.0im
-10.351547793578368 + 0.0im	3.793911840605047e-6 + 0.0im
-10.33583983031042 + 0.0im	3.804364082390947e-6 + 0.0im
-10.32013186704247 + 0.0im	3.814859712198224e-6 + 0.0im
-10.304423903774522 + 0.0im	3.825398971248035e-6 + 0.0im
-10.288715940506572 + 0.0im	3.835982102445408e-6 + 0.0im
-10.273007977238624 + 0.0im	3.846609350393443e-6 + 0.0im
-10.257300013970674 + 0.0im	3.857280961407571e-6 + 0.0im
-10.241592050702726 + 0.0im	3.86799718353008e-6 + 0.0im
-10.225884087434777 + 0.0im	3.878758266544644e-6 + 0.0im
-10.210176124166829 + 0.0im	3.889564461991095e-6 + 0.0im
-10.194468160898879 + 0.0im	3.900416023180284e-6 + 0.0im
-10.178760197630929 + 0.0im	3.9113132052091135e-6 + 0.0im
-10.163052234362981 + 0.0im	3.922256264975763e-6 + 0.0im
-10.147344271095031 + 0.0im	3.933245461194942e-6 + 0.0im
-10.131636307827083 + 0.0im	3.94428105441342e-6 + 0.0im
-10.115928344559133 + 0.0im	3.955363307025692e-6 + 0.0im
-10.100220381291185 + 0.0im	3.966492483289726e-6 + 0.0im
-10.084512418023236 + 0.0im	3.977668849342932e-6 + 0.0im
-10.068804454755288 + 0.0im	3.9888926732182914e-6 + 0.0im
-10.053096491487338 + 0.0im	4.000164224860618e-6 + 0.0im
-10.037388528219388 + 0.0im	4.011483776142993e-6 + 0.0im
-10.02168056495144 + 0.0im	4.02285160088339e-6 + 0.0im
