-9.157742585214248 + 0.0im	-0.00015926970655469935 + 0.0im
-9.142034621946298 + 0.0im	-0.00016013133862349303 + 0.0im
-9.12632665867835 + 0.0im	-0.0001609992738872396 + 0.0im
-9.1106186954104 + 0.0im	-0.0001618735708127822 + 0.0im
-9.09491073214245 + 0.0im	-0.00016275428852723233 + 0.0im
-9.079202768874502 + 0.0im	-0.00016364148682676292 + 0.0im
-9.063494805606553 + 0.0im	-0.0001645352261856184 + 0.0im
-9.047786842338605 + 0.0im	-0.00016543556776515555 + 0.0im
-9.032078879070655 + 0.0im	-0.00016634257342314744 + 0.0im
-9.016370915802707 + 0.0im	-0.00016725630572313153 + 0.0im
-9.000662952534757 + 0.0im	-0.00016817682794397992 + 0.0im
-8.984954989266809 + 0.0im	-0.00016910420408953873 + 0.0im
-8.96924702599886 + 0.0im	-0.00017003849889850585 + 0.0im
-8.953539062730911 + 0.0im	-0.00017097977785441023 + 0.0im
-8.937831099462962 + 0.0im	-0.0001719281071957472 + 0.0im
-8.922123136195012 + 0.0im	-0.00017288355392631327 + 0.0im
-8.906415172927064 + 0.0im	-0.00017384618582564588 + 0.0im
-8.890707209659114 + 0.0im	-0.00017481607145970586 + 0.0im
-8.874999246391166 + 0.0im	-0.0001757932801916494 + 0.0im
-8.859291283123216 + 0.0im	-0.00017677788219282552 + 0.0im
-8.843583319855268 + 0.0im	-0.00017776994845392798 + 0.0im
-8.827875356587318 + 0.0im	-0.00017876955079634688 + 0.0im
-8.81216739331937 + 0.0im	-0.00017977676188366137 + 0.0im
-8.79645943005142 + 0.0im	-0.00018079165523335894 + 0.0im
-8.780751466783471 + 0.0im	-0.00018181430522872145 + 0.0im
-8.765043503515523 + 0.0im	-0.00018284478713091114 + 0.0im
-8.749335540247573 + 0.0im	-0.0001838831770912536 + 0.0im
-8.733627576979625 + 0.0im	-0.00018492955216372522 + 0.0im
-8.717919613711675 + 0.0im	-0.00018598399031760336 + 0.0im
-8.702211650443727 + 0.0im	-0.00018704657045037957 + 0.0im
-8.686503687175778 + 0.0im	-0.00018811737240088467 + 0.0im
-8.67079572390783 + 0.0im	-0.00018919647696255648 + 0.0im
-8.65508776063988 + 0.0im	-0.00019028396589700135 + 0.0im
-8.63937979737193 + 0.0im	-0.00019137992194773434 + 0.0im
-8.623671834103982 + 0.0im	-0.0001924844288541883 + 0.0im
-8.607963870836032 + 0.0im	-0.00019359757136591272 + 0.0im
-8.592255907568084 + 0.0im	-0.00019471943525701632 + 0.0im
-8.576547944300135 + 0.0im	-0.00019585010734088633 + 0.0im
-8.560839981032187 + 0.0im	-0.0001969896754850942 + 0.0im
-8.545132017764237 + 0.0im	-0.00019813822862658893 + 0.0im
-8.529424054496289 + 0.0im	-0.00019929585678716693 + 0.0im
-8.51371609122834 + 0.0im	-0.00020046265108912323 + 0.0im
-8.498008127960391 + 0.0im	-0.00020163870377124413 + 0.0im
-8.482300164692441 + 0.0im	-0.00020282410820503005 + 0.0im
-8.466592201424492 + 0.0im	-0.00020401895891122135 + 0.0im
-8.450884238156544 + 0.0im	-0.00020522335157655076 + 0.0im
-8.435176274888594 + 0.0im	-0.00020643738307083166 + 0.0im
-8.419468311620646 + 0.0im	-0.00020766115146432133 + 0.0im
-8.403760348352696 + 0.0im	-0.00020889475604540014 + 0.0im
-8.388052385084748 + 0.0im	-0.00021013829733846926 + 0.0im
-8.372344421816798 + 0.0im	-0.00021139187712230486 + 0.0im
-8.35663645854885 + 0.0im	-0.00021265559844855695 + 0.0im
-8.3409284952809 + 0.0im	-0.00021392956566070577 + 0.0im
-8.325220532012953 + 0.0im	-0.00021521388441327389 + 0.0im
-8.309512568745003 + 0.0im	-0.00021650866169138983 + 0.0im
-8.293804605477053 + 0.0im	-0.00021781400583068886 + 0.0im
-8.278096642209105 + 0.0im	-0.00021913002653755066 + 0.0im
-8.262388678941155 + 0.0im	-0.00022045683490972586 + 0.0im
-8.246680715673207 + 0.0im	-0.00022179454345727553 + 0.0im
-8.230972752405258 + 0.0im	-0.000223143266123902 + 0.0im
-8.21526478913731 + 0.0im	-0.000224503118308672 + 0.0im
-8.19955682586936 + 0.0im	-0.00022587421688807533 + 0.0im
-8.183848862601412 + 0.0im	-0.00022725668023851746 + 0.0im
-8.168140899333462 + 0.0im	-0.00022865062825919535 + 0.0im
-8.152432936065512 + 0.0im	-0.00023005618239538134 + 0.0im
-8.136724972797564 + 0.0im	-0.00023147346566209897 + 0.0im
-8.121017009529615 + 0.0im	-0.0002329026026682706 + 0.0im
-8.105309046261667 + 0.0im	-0.00023434371964123148 + 0.0im
-8.089601082993717 + 0.0im	-0.00023579694445175986 + 0.0im
-8.073893119725769 + 0.0im	-0.00023726240663948477 + 0.0im
-8.058185156457819 + 0.0im	-0.00023874023743879143 + 0.0im
-8.042477193189871 + 0.0im	-0.00024023056980521803 + 0.0im
