-10.00597260168349 + 0.0im	4.072024542573183e-6 + 0.0im
-9.990264638415542 + 0.0im	4.083665723606371e-6 + 0.0im
-9.974556675147593 + 0.0im	4.095357107483137e-6 + 0.0im
-9.958848711879645 + 0.0im	4.107098984526134e-6 + 0.0im
-9.943140748611695 + 0.0im	4.118891647168451e-6 + 0.0im
-9.927432785343747 + 0.0im	4.130735389972776e-6 + 0.0im
-9.911724822075797 + 0.0im	4.1426305096498364e-6 + 0.0im
-9.896016858807847 + 0.0im	4.1545773050771166e-6 + 0.0im
-9.8803088955399 + 0.0im	4.166576077318519e-6 + 0.0im
-9.86460093227195 + 0.0im	4.1786271296431095e-6 + 0.0im
-9.848892969004002 + 0.0im	4.1907307675447335e-6 + 0.0im
-9.833185005736052 + 0.0im	4.2028872987619946e-6 + 0.0im
-9.817477042468104 + 0.0im	4.2150970332976815e-6 + 0.0im
-9.801769079200154 + 0.0im	4.227360283439701e-6 + 0.0im
-9.786061115932206 + 0.0im	4.23967736378089e-6 + 0.0im
-9.770353152664256 + 0.0im	4.252048591238559e-6 + 0.0im
-9.754645189396308 + 0.0im	4.264474285077521e-6 + 0.0im
-9.738937226128359 + 0.0im	4.276954766928976e-6 + 0.0im
-9.723229262860409 + 0.0im	4.289490360812611e-6 + 0.0im
-9.707521299592461 + 0.0im	4.30208139315806e-6 + 0.0im
-9.691813336324511 + 0.0im	4.314728192826593e-6 + 0.0im
-9.676105373056563 + 0.0im	4.3274310911319e-6 + 0.0im
-9.660397409788613 + 0.0im	4.340190421864086e-6 + 0.0im
-9.644689446520665 + 0.0im	4.353006521310401e-6 + 0.0im
-9.628981483252716 + 0.0im	4.365879728278496e-6 + 0.0im
-9.613273519984768 + 0.0im	4.37881038411917e-6 + 0.0im
-9.597565556716818 + 0.0im	4.391798832749173e-6 + 0.0im
-9.58185759344887 + 0.0im	4.40484542067497e-6 + 0.0im
-9.56614963018092 + 0.0im	4.417950497015737e-6 + 0.0im
-9.55044166691297 + 0.0im	4.431114413527456e-6 + 0.0im
-9.534733703645022 + 0.0im	4.444337524626882e-6 + 0.0im
-9.519025740377073 + 0.0im	4.4576201874162895e-6 + 0.0im
-9.503317777109125 + 0.0im	4.470962761707068e-6 + 0.0im
-9.487609813841175 + 0.0im	4.484365610045418e-6 + 0.0im
-9.471901850573227 + 0.0im	4.497829097736768e-6 + 0.0im
-9.456193887305277 + 0.0im	4.511353592872517e-6 + 0.0im
-9.44048592403733 + 0.0im	4.5249394663532164e-6 + 0.0im
-9.42477796076938 + 0.0im	4.538587091917042e-6 + 0.0im
-9.40906999750143 + 0.0im	4.552296846164455e-6 + 0.0im
-9.393362034233482 + 0.0im	4.566069108585417e-6 + 0.0im
-9.377654070965532 + 0.0im	4.579904261585258e-6 + 0.0im
-9.361946107697584 + 0.0im	4.593802690513074e-6 + 0.0im
-9.346238144429634 + 0.0im	4.6077647836880466e-6 + 0.0im
-9.330530181161686 + 0.0im	4.6217909324269225e-6 + 0.0im
-9.314822217893736 + 0.0im	4.635881531073443e-6 + 0.0im
-9.299114254625788 + 0.0im	4.650036977024929e-6 + 0.0im
-9.283406291357839 + 0.0im	4.664257670761556e-6 + 0.0im
-9.267698328089889 + 0.0im	4.678544015875218e-6 + 0.0im
-9.25199036482194 + 0.0im	4.692896419099451e-6 + 0.0im
-9.236282401553991 + 0.0im	4.707315290337041e-6 + 0.0im
-9.220574438286043 + 0.0im	4.721801042692008e-6 + 0.0im
-9.204866475018093 + 0.0im	4.736354092498295e-6 + 0.0im
-9.189158511750145 + 0.0im	4.750974859351685e-6 + 0.0im
-9.173450548482196 + 0.0im	4.765663766138675e-6 + 0.0im
-9.157742585214248 + 0.0im	4.780421239069799e-6 + 0.0im
-9.142034621946298 + 0.0im	4.795247707709616e-6 + 0.0im
-9.12632665867835 + 0.0im	4.81014360500966e-6 + 0.0im
-9.1106186954104 + 0.0im	4.825109367339518e-6 + 0.0im
-9.09491073214245 + 0.0im	4.840145434520769e-6 + 0.0im
-9.079202768874502 + 0.0im	4.855252249859379e-6 + 0.0im
-9.063494805606553 + 0.0im	4.870430260178563e-6 + 0.0im
-9.047786842338605 + 0.0im	4.885679915853334e-6 + 0.0im
-9.032078879070655 + 0.0im	4.901001670844029e-6 + 0.0im
-9.016370915802707 + 0.0im	4.916395982731262e-6 + 0.0im
-9.000662952534757 + 0.0im	4.931863312750047e-6 + 0.0im
-8.984954989266809 + 0.0im	4.947404125826291e-6 + 0.0im
-8.96924702599886 + 0.0im	4.963018890611131e-6 + 0.0im
-8.953539062730911 + 0.0im	4.9787080795180365e-6 + 0.0im
-8.937831099462962 + 0.0im	4.994472168758704e-6 + 0.0im
-8.922123136195012 + 0.0im	5.010311638380062e-6 + 0.0im
-8.906415172927064 + 0.0im	5.026226972302126e-6 + 0.0im
-8.890707209659114 + 0.0im	5.042218658355028e-6 + 0.0im
-8.874999246391166 + 0.0im	5.058287188316967e-6 + 0.0im
-8.859291283123216 + 0.0im	5.074433057954648e-6 + 0.0im
-8.843583319855268 + 0.0im	5.090656767059822e-6 + 0.0im
-8.827875356587318 + 0.0im	5.106958819490778e-6 + 0.0im
-8.81216739331937 + 0.0im	5.123339723211188e-6 + 0.0im
-8.79645943005142 + 0.0im	5.139799990331296e-6 + 0.0im
-8.780751466783471 + 0.0im	5.156340137148248e-6 + 0.0im
-8.765043503515523 + 0.0im	5.1729606841877054e-6 + 0.0im
-8.749335540247573 + 0.0im	5.189662156245741e-6 + 0.0im
-8.733627576979625 + 0.0im	5.20644508243091e-6 + 0.0im
-8.717919613711675 + 0.0im	5.223309996207864e-6 + 0.0im
-8.702211650443727 + 0.0im	5.2402574354396545e-6 + 0.0im
-8.686503687175778 + 0.0im	5.257287942432016e-6 + 0.0im
-8.67079572390783 + 0.0im	5.2744020639781175e-6 + 0.0im
-8.65508776063988 + 0.0im	5.291600351402906e-6 + 0.0im
-8.63937979737193 + 0.0im	5.308883360608754e-6 + 0.0im
-8.623671834103982 + 0.0im	5.3262516521212795e-6 + 0.0im
-8.607963870836032 + 0.0im	5.343705791136207e-6 + 0.0im
-8.592255907568084 + 0.0im	5.36124634756565e-6 + 0.0im
-8.576547944300135 + 0.0im	5.378873896086462e-6 + 0.0im
-8.560839981032187 + 0.0im	5.396589016187943e-6 + 0.0im
-8.545132017764237 + 0.0im	5.4143922922205926e-6 + 0.0im
-8.529424054496289 + 0.0im	5.432284313445991e-6 + 0.0im
-8.51371609122834 + 0.0im	5.4502656740858865e-6 + 0.0im
-8.498008127960391 + 0.0im	5.468336973372914e-6 + 0.0im
-8.482300164692441 + 0.0im	5.486498815602154e-6 + 0.0im
-8.466592201424492 + 0.0im	5.504751810181965e-6 + 0.0im
-8.450884238156544 + 0.0im	5.5230965716880254e-6 + 0.0im
-8.435176274888594 + 0.0im	5.541533719913711e-6 + 0.0im
-8.419468311620646 + 0.0im	5.560063879925715e-6 + 0.0im
-8.403760348352696 + 0.0im	5.5786876821181175e-6 + 0.0im
-8.388052385084748 + 0.0im	5.5974057622657036e-6 + 0.0im
-8.372344421816798 + 0.0im	5.616218761581925e-6 + 0.0im
-8.35663645854885 + 0.0im	5.635127326772877e-6 + 0.0im
-8.3409284952809 + 0.0im	5.6541321100959405e-6 + 0.0im
-8.325220532012953 + 0.0im	5.6732337694165125e-6 + 0.0im
-8.309512568745003 + 0.0im	5.69243296826586e-6 + 0.0im
-8.293804605477053 + 0.0im	5.711730375901872e-6 + 0.0im
-8.278096642209105 + 0.0im	5.731126667367138e-6 + 0.0im
-8.262388678941155 + 0.0im	5.750622523549762e-6 + 0.0im
-8.246680715673207 + 0.0im	5.770218631245721e-6 + 0.0im
-8.230972752405258 + 0.0im	5.7899156832189255e-6 + 0.0im
-8.21526478913731 + 0.0im	5.809714378266292e-6 + 0.0im
-8.19955682586936 + 0.0im	5.829615421278995e-6 + 0.0im
-8.183848862601412 + 0.0im	5.849619523308358e-6 + 0.0im
-8.168140899333462 + 0.0im	5.86972740163037e-6 + 0.0im
-8.152432936065512 + 0.0im	5.889939779811731e-6 + 0.0im
-8.136724972797564 + 0.0im	5.910257387776497e-6 + 0.0im
-8.121017009529615 + 0.0im	5.930680961873557e-6 + 0.0im
-8.105309046261667 + 0.0im	5.951211244945365e-6 + 0.0im
-8.089601082993717 + 0.0im	5.971848986397232e-6 + 0.0im
-8.073893119725769 + 0.0im	5.992594942266989e-6 + 0.0im
-8.058185156457819 + 0.0im	6.013449875296856e-6 + 0.0im
-8.042477193189871 + 0.0im	6.034414555003925e-6 + 0.0im
-8.026769229921921 + 0.0im	6.055489757755161e-6 + 0.0im
-8.011061266653972 + 0.0im	6.07667626683917e-6 + 0.0im
-7.995353303386024 + 0.0im	6.097974872541801e-6 + 0.0im
-7.979645340118075 + 0.0im	6.119386372221795e-6 + 0.0im
-7.963937376850126 + 0.0im	6.140911570387101e-6 + 0.0im
-7.948229413582177 + 0.0im	6.16255127877256e-6 + 0.0im
-7.932521450314228 + 0.0im	6.184306316418632e-6 + 0.0im
-7.916813487046278 + 0.0im	6.20617750975096e-6 + 0.0im
-7.901105523778329 + 0.0im	6.228165692660429e-6 + 0.0im
-7.8853975605103805 + 0.0im	6.250271706586199e-6 + 0.0im
