-9.534733703645022 + 0.0im	0.00023448258630483183 + 0.0im
-9.519025740377073 + 0.0im	0.0002352066711623941 + 0.0im
-9.503317777109125 + 0.0im	0.00023593414588663728 + 0.0im
-9.487609813841175 + 0.0im	0.00023666503187645292 + 0.0im
-9.471901850573227 + 0.0im	0.00023739935070156597 + 0.0im
-9.456193887305277 + 0.0im	0.00023813712410426286 + 0.0im
-9.44048592403733 + 0.0im	0.00023887837400100715 + 0.0im
-9.42477796076938 + 0.0im	0.0002396231224841255 + 0.0im
-9.40906999750143 + 0.0im	0.00024037139182359087 + 0.0im
-9.393362034233482 + 0.0im	0.00024112320446870313 + 0.0im
-9.377654070965532 + 0.0im	0.00024187858304985056 + 0.0im
-9.361946107697584 + 0.0im	0.000242637550380266 + 0.0im
-9.346238144429634 + 0.0im	0.00024340012945792575 + 0.0im
-9.330530181161686 + 0.0im	0.00024416634346721597 + 0.0im
-9.314822217893736 + 0.0im	0.0002449362157808855 + 0.0im
-9.299114254625788 + 0.0im	0.00024570976996182904 + 0.0im
-9.283406291357839 + 0.0im	0.00024648702976505407 + 0.0im
-9.267698328089889 + 0.0im	0.0002472680191394745 + 0.0im
-9.25199036482194 + 0.0im	0.00024805276222995685 + 0.0im
-9.236282401553991 + 0.0im	0.0002488412833791565 + 0.0im
-9.220574438286043 + 0.0im	0.00024963360712954117 + 0.0im
-9.204866475018093 + 0.0im	0.0002504297582254261 + 0.0im
-9.189158511750145 + 0.0im	0.000251229761614915 + 0.0im
-9.173450548482196 + 0.0im	0.00025203364245197566 + 0.0im
-9.157742585214248 + 0.0im	0.00025284142609849835 + 0.0im
-9.142034621946298 + 0.0im	0.0002536531381264113 + 0.0im
-9.12632665867835 + 0.0im	0.0002544688043197562 + 0.0im
-9.1106186954104 + 0.0im	0.000255288450676876 + 0.0im
-9.09491073214245 + 0.0im	0.00025611210341252715 + 0.0im
-9.079202768874502 + 0.0im	0.0002569397889601224 + 0.0im
-9.063494805606553 + 0.0im	0.0002577715339738852 + 0.0im
-9.047786842338605 + 0.0im	0.0002586073653311872 + 0.0im
-9.032078879070655 + 0.0im	0.0002594473101347216 + 0.0im
-9.016370915802707 + 0.0im	0.0002602913957148681 + 0.0im
-9.000662952534757 + 0.0im	0.0002611396496319751 + 0.0im
-8.984954989266809 + 0.0im	0.0002619920996787968 + 0.0im
-8.96924702599886 + 0.0im	0.0002628487738827377 + 0.0im
-8.953539062730911 + 0.0im	0.0002637097005084035 + 0.0im
-8.937831099462962 + 0.0im	0.0002645749080599683 + 0.0im
-8.922123136195012 + 0.0im	0.00026544442528364157 + 0.0im
-8.906415172927064 + 0.0im	0.0002663182811702157 + 0.0im
-8.890707209659114 + 0.0im	0.0002671965049575822 + 0.0im
-8.874999246391166 + 0.0im	0.00026807912613325326 + 0.0im
-8.859291283123216 + 0.0im	0.0002689661744370059 + 0.0im
-8.843583319855268 + 0.0im	0.00026985767986348054 + 0.0im
-8.827875356587318 + 0.0im	0.00027075367266490006 + 0.0im
-8.81216739331937 + 0.0im	0.00027165418335364235 + 0.0im
-8.79645943005142 + 0.0im	0.0002725592427050726 + 0.0im
-8.780751466783471 + 0.0im	0.00027346888176028866 + 0.0im
-8.765043503515523 + 0.0im	0.0002743831318288573 + 0.0im
-8.749335540247573 + 0.0im	0.00027530202449167497 + 0.0im
-8.733627576979625 + 0.0im	0.00027622559160387326 + 0.0im
-8.717919613711675 + 0.0im	0.0002771538652976424 + 0.0im
-8.702211650443727 + 0.0im	0.00027808687798522893 + 0.0im
-8.686503687175778 + 0.0im	0.00027902466236186274 + 0.0im
-8.67079572390783 + 0.0im	0.0002799672514088071 + 0.0im
-8.65508776063988 + 0.0im	0.00028091467839636724 + 0.0im
-8.63937979737193 + 0.0im	0.0002818669768870047 + 0.0im
-8.623671834103982 + 0.0im	0.00028282418073847295 + 0.0im
-8.607963870836032 + 0.0im	0.0002837863241069422 + 0.0im
-8.592255907568084 + 0.0im	0.0002847534414502355 + 0.0im
-8.576547944300135 + 0.0im	0.00028572556753104524 + 0.0im
-8.560839981032187 + 0.0im	0.0002867027374202944 + 0.0im
-8.545132017764237 + 0.0im	0.00028768498650034346 + 0.0im
-8.529424054496289 + 0.0im	0.0002886723504685012 + 0.0im
-8.51371609122834 + 0.0im	0.0002896648653403199 + 0.0im
-8.498008127960391 + 0.0im	0.00029066256745314845 + 0.0im
-8.482300164692441 + 0.0im	0.0002916654934695376 + 0.0im
-8.466592201424492 + 0.0im	0.00029267368038091905 + 0.0im
-8.450884238156544 + 0.0im	0.000293687165511074 + 0.0im
-8.435176274888594 + 0.0im	0.00029470598651984144 + 0.0im
-8.419468311620646 + 0.0im	0.0002957301814068063 + 0.0im
-8.403760348352696 + 0.0im	0.00029675978851502385 + 0.0im
-8.388052385084748 + 0.0im	0.00029779484653478676 + 0.0im
-8.372344421816798 + 0.0im	0.0002988353945075284 + 0.0im
-8.35663645854885 + 0.0im	0.00029988147182959525 + 0.0im
-8.3409284952809 + 0.0im	0.0003009331182563117 + 0.0im
-8.325220532012953 + 0.0im	0.0003019903739058694 + 0.0im
-8.309512568745003 + 0.0im	0.00030305327926341763 + 0.0im
-8.293804605477053 + 0.0im	0.00030412187518515847 + 0.0im
-8.278096642209105 + 0.0im	0.00030519620290247394 + 0.0im
-8.262388678941155 + 0.0im	0.00030627630402613924 + 0.0im
-8.246680715673207 + 0.0im	0.0003073622205505806 + 0.0im
-8.230972752405258 + 0.0im	0.00030845399485820594 + 0.0im
-8.21526478913731 + 0.0im	0.00030955166972376037 + 0.0im
-8.19955682586936 + 0.0im	0.0003106552883187907 + 0.0im
-8.183848862601412 + 0.0im	0.00031176489421609637 + 0.0im
-8.168140899333462 + 0.0im	0.0003128805313942737 + 0.0im
-8.152432936065512 + 0.0im	0.0003140022442424202 + 0.0im
-8.136724972797564 + 0.0im	0.00031513007756471127 + 0.0im
-8.121017009529615 + 0.0im	0.00031626407658516716 + 0.0im
-8.105309046261667 + 0.0im	0.0003174042869525055 + 0.0im
-8.089601082993717 + 0.0im	0.0003185507547449493 + 0.0im
-8.073893119725769 + 0.0im	0.00031970352647517326 + 0.0im
-8.058185156457819 + 0.0im	0.00032086264909536794 + 0.0im
-8.042477193189871 + 0.0im	0.0003220281700022243 + 0.0im
-8.026769229921921 + 0.0im	0.00032320013704213404 + 0.0im
-8.011061266653972 + 0.0im	0.0003243785985163733 + 0.0im
-7.995353303386024 + 0.0im	0.00032556360318640416 + 0.0im
