-9.157742585214248 + 0.0im	0.00023673003826020354 + 0.0im
-9.142034621946298 + 0.0im	0.00023745965441558225 + 0.0im
-9.12632665867835 + 0.0im	0.00023819266230779712 + 0.0im
-9.1106186954104 + 0.0im	0.0002389290830768222 + 0.0im
-9.09491073214245 + 0.0im	0.00023966893802825355 + 0.0im
-9.079202768874502 + 0.0im	0.00024041224863487957 + 0.0im
-9.063494805606553 + 0.0im	0.00024115903653826247 + 0.0im
-9.047786842338605 + 0.0im	0.0002419093235503399 + 0.0im
-9.032078879070655 + 0.0im	0.00024266313165504052 + 0.0im
-9.016370915802707 + 0.0im	0.00024342048300992467 + 0.0im
-9.000662952534757 + 0.0im	0.00024418139994783624 + 0.0im
-8.984954989266809 + 0.0im	0.0002449459049785819 + 0.0im
-8.96924702599886 + 0.0im	0.000245714020790615 + 0.0im
-8.953539062730911 + 0.0im	0.0002464857702527507 + 0.0im
-8.937831099462962 + 0.0im	0.0002472611764159006 + 0.0im
-8.922123136195012 + 0.0im	0.00024804026251481364 + 0.0im
-8.906415172927064 + 0.0im	0.00024882305196985573 + 0.0im
-8.890707209659114 + 0.0im	0.0002496095683887907 + 0.0im
-8.874999246391166 + 0.0im	0.0002503998355685957 + 0.0im
-8.859291283123216 + 0.0im	0.0002511938774972906 + 0.0im
-8.843583319855268 + 0.0im	0.0002519917183557873 + 0.0im
-8.827875356587318 + 0.0im	0.0002527933825197647 + 0.0im
-8.81216739331937 + 0.0im	0.0002535988945615574 + 0.0im
-8.79645943005142 + 0.0im	0.0002544082792520787 + 0.0im
-8.780751466783471 + 0.0im	0.0002552215615627491 + 0.0im
-8.765043503515523 + 0.0im	0.00025603876666746247 + 0.0im
-8.749335540247573 + 0.0im	0.0002568599199445635 + 0.0im
-8.733627576979625 + 0.0im	0.0002576850469788561 + 0.0im
-8.717919613711675 + 0.0im	0.0002585141735636255 + 0.0im
-8.702211650443727 + 0.0im	0.00025934732570268915 + 0.0im
-8.686503687175778 + 0.0im	0.0002601845296124853 + 0.0im
-8.67079572390783 + 0.0im	0.00026102581172414695 + 0.0im
-8.65508776063988 + 0.0im	0.00026187119868564725 + 0.0im
-8.63937979737193 + 0.0im	0.00026272071736393527 + 0.0im
-8.623671834103982 + 0.0im	0.00026357439484711055 + 0.0im
-8.607963870836032 + 0.0im	0.00026443225844662396 + 0.0im
-8.592255907568084 + 0.0im	0.0002652943356994939 + 0.0im
-8.576547944300135 + 0.0im	0.0002661606543705669 + 0.0im
-8.560839981032187 + 0.0im	0.00026703124245478383 + 0.0im
-8.545132017764237 + 0.0im	0.0002679061281794839 + 0.0im
-8.529424054496289 + 0.0im	0.0002687853400067374 + 0.0im
-8.51371609122834 + 0.0im	0.0002696689066357017 + 0.0im
-8.498008127960391 + 0.0im	0.0002705568570050036 + 0.0im
-8.482300164692441 + 0.0im	0.0002714492202951541 + 0.0im
-8.466592201424492 + 0.0im	0.0002723460259309882 + 0.0im
-8.450884238156544 + 0.0im	0.0002732473035841375 + 0.0im
-8.435176274888594 + 0.0im	0.0002741530831755297 + 0.0im
-8.419468311620646 + 0.0im	0.0002750633948779143 + 0.0im
-8.403760348352696 + 0.0im	0.0002759782691184229 + 0.0im
-8.388052385084748 + 0.0im	0.0002768977365811654 + 0.0im
-8.372344421816798 + 0.0im	0.0002778218282098434 + 0.0im
-8.35663645854885 + 0.0im	0.00027875057521040326 + 0.0im
-8.3409284952809 + 0.0im	0.0002796840090537285 + 0.0im
-8.325220532012953 + 0.0im	0.00028062216147834454 + 0.0im
-8.309512568745003 + 0.0im	0.0002815650644931739 + 0.0im
-8.293804605477053 + 0.0im	0.0002825127503803192 + 0.0im
-8.278096642209105 + 0.0im	0.00028346525169787863 + 0.0im
-8.262388678941155 + 0.0im	0.00028442260128279156 + 0.0im
-8.246680715673207 + 0.0im	0.00028538483225373025 + 0.0im
-8.230972752405258 + 0.0im	0.0002863519780140108 + 0.0im
-8.21526478913731 + 0.0im	0.0002873240722545593 + 0.0im
-8.19955682586936 + 0.0im	0.00028830114895688993 + 0.0im
-8.183848862601412 + 0.0im	0.00028928324239614487 + 0.0im
-8.168140899333462 + 0.0im	0.00029027038714414847 + 0.0im
-8.152432936065512 + 0.0im	0.0002912626180725163 + 0.0im
-8.136724972797564 + 0.0im	0.0002922599703557962 + 0.0im
-8.121017009529615 + 0.0im	0.0002932624794746402 + 0.0im
-8.105309046261667 + 0.0im	0.00029427018121902786 + 0.0im
-8.089601082993717 + 0.0im	0.0002952831116915282 + 0.0im
-8.073893119725769 + 0.0im	0.00029630130731058454 + 0.0im
-8.058185156457819 + 0.0im	0.0002973248048138683 + 0.0im
-8.042477193189871 + 0.0im	0.00029835364126165153 + 0.0im
-8.026769229921921 + 0.0im	0.00029938785404023087 + 0.0im
-8.011061266653972 + 0.0im	0.00030042748086539094 + 0.0im
-7.995353303386024 + 0.0im	0.0003014725597859168 + 0.0im
-7.979645340118075 + 0.0im	0.00030252312918714695 + 0.0im
-7.963937376850126 + 0.0im	0.0003035792277945621 + 0.0im
-7.948229413582177 + 0.0im	0.00030464089467743485 + 0.0im
-7.932521450314228 + 0.0im	0.0003057081692525165 + 0.0im
-7.916813487046278 + 0.0im	0.0003067810912877698 + 0.0im
-7.901105523778329 + 0.0im	0.00030785970090614764 + 0.0im
-7.8853975605103805 + 0.0im	0.00030894403858943006 + 0.0im
-7.869689597242432 + 0.0im	0.00031003414518209355 + 0.0im
-7.853981633974483 + 0.0im	0.00031113006189524344 + 0.0im
-7.838273670706534 + 0.0im	0.0003122318303105858 + 0.0im
-7.822565707438585 + 0.0im	0.0003133394923844663 + 0.0im
-7.806857744170636 + 0.0im	0.00031445309045193443 + 0.0im
-7.791149780902687 + 0.0im	0.00031557266723088336 + 0.0im
-7.7754418176347375 + 0.0im	0.00031669826582623437 + 0.0im
-7.759733854366789 + 0.0im	0.0003178299297341711 + 0.0im
-7.74402589109884 + 0.0im	0.0003189677028464342 + 0.0im
-7.728317927830891 + 0.0im	0.00032011162945467234 + 0.0im
-7.712609964562942 + 0.0im	0.0003212617542548377 + 0.0im
-7.696902001294993 + 0.0im	0.0003224181223516546 + 0.0im
-7.681194038027044 + 0.0im	0.00032358077926313537 + 0.0im
-7.665486074759095 + 0.0im	0.0003247497709251573 + 0.0im
-7.6497781114911465 + 0.0im	0.00032592514369610175 + 0.0im
-7.634070148223198 + 0.0im	0.0003271069443615494 + 0.0im
-7.618362184955249 + 0.0im	0.00032829522013903763 + 0.0im
-7.602654221687299 + 0.0im	0.0003294900186828913 + 0.0im
-7.58694625841935 + 0.0im	0.00033069138808909426 + 0.0im
-7.571238295151401 + 0.0im	0.00033189937690024265 + 0.0im
-7.555530331883452 + 0.0im	0.00033311403411056607 + 0.0im
-7.5398223686155035 + 0.0im	0.0003343354091709983 + 0.0im
-7.524114405347555 + 0.0im	0.00033556355199432616 + 0.0im
-7.508406442079606 + 0.0im	0.000336798512960406 + 0.0im
-7.492698478811657 + 0.0im	0.0003380403429214526 + 0.0im
-7.476990515543708 + 0.0im	0.00033928909320738636 + 0.0im
-7.461282552275758 + 0.0im	0.00034054481563126286 + 0.0im
-7.445574589007809 + 0.0im	0.0003418075624947752 + 0.0im
-7.4298666257398605 + 0.0im	0.00034307738659381757 + 0.0im
-7.414158662471912 + 0.0im	0.00034435434122414204 + 0.0im
-7.398450699203963 + 0.0im	0.00034563848018707104 + 0.0im
-7.382742735936014 + 0.0im	0.00034692985779530755 + 0.0im
-7.367034772668065 + 0.0im	0.0003482285288788043 + 0.0im
-7.351326809400116 + 0.0im	0.0003495345487907278 + 0.0im
-7.335618846132167 + 0.0im	0.00035084797341349315 + 0.0im
-7.319910882864218 + 0.0im	0.0003521688591648815 + 0.0im
-7.304202919596269 + 0.0im	0.00035349726300424857 + 0.0im
-7.28849495632832 + 0.0im	0.0003548332424388122 + 0.0im
-7.272786993060371 + 0.0im	0.000356176855530019 + 0.0im
-7.257079029792422 + 0.0im	0.00035752816090001117 + 0.0im
-7.241371066524473 + 0.0im	0.0003588872177381788 + 0.0im
-7.225663103256524 + 0.0im	0.000360254085807787 + 0.0im
-7.209955139988575 + 0.0im	0.00036162882545272057 + 0.0im
-7.194247176720626 + 0.0im	0.0003630114976043025 + 0.0im
-7.1785392134526775 + 0.0im	0.000364402163788202 + 0.0im
-7.162831250184729 + 0.0im	0.0003658008861314632 + 0.0im
-7.147123286916779 + 0.0im	0.00036720772736960913 + 0.0im
-7.13141532364883 + 0.0im	0.00036862275085385016 + 0.0im
-7.115707360380881 + 0.0im	0.0003700460205583972 + 0.0im
-7.099999397112932 + 0.0im	0.0003714776010878678 + 0.0im
-7.084291433844983 + 0.0im	0.00037291755768481863 + 0.0im
-7.0685834705770345 + 0.0im	0.00037436595623734266 + 0.0im
-7.052875507309086 + 0.0im	0.00037582286328682066 + 0.0im
-7.037167544041137 + 0.0im	0.00037728834603573916 + 0.0im
-7.021459580773188 + 0.0im	0.0003787624723556573 + 0.0im
-7.005751617505239 + 0.0im	0.0003802453107952505 + 0.0im
-6.99004365423729 + 0.0im	0.00038173693058849773 + 0.0im
-6.97433569096934 + 0.0im	0.0003832374016629651 + 0.0im
-6.9586277277013915 + 0.0im	0.0003847467946482119 + 0.0im
-6.942919764433443 + 0.0im	0.0003862651808843355 + 0.0im
-6.927211801165494 + 0.0im	0.00038779263243059637 + 0.0im
-6.911503837897545 + 0.0im	0.00038932922207421947 + 0.0im
-6.895795874629596 + 0.0im	0.000390875023339276 + 0.0im
-6.880087911361647 + 0.0im	0.00039243011049571743 + 0.0im
-6.864379948093698 + 0.0im	0.0003939945585685311 + 0.0im
-6.848671984825749 + 0.0im	0.0003955684433470449 + 0.0im
-6.8329640215578 + 0.0im	0.00039715184139433294 + 0.0im
-6.817256058289851 + 0.0im	0.00039874483005679405 + 0.0im
-6.801548095021902 + 0.0im	0.0004003474874738414 + 0.0im
-6.785840131753953 + 0.0im	0.00040195989258775346 + 0.0im
-6.770132168486004 + 0.0im	0.0004035821251536595 + 0.0im
-6.754424205218055 + 0.0im	0.0004052142657496679 + 0.0im
-6.738716241950106 + 0.0im	0.0004068563957871482 + 0.0im
-6.7230082786821574 + 0.0im	0.00040850859752116923 + 0.0im
-6.707300315414209 + 0.0im	0.00041017095406108134 + 0.0im
-6.69159235214626 + 0.0im	0.00041184354938125816 + 0.0im
-6.675884388878311 + 0.0im	0.0004135264683319997 + 0.0im
-6.660176425610361 + 0.0im	0.00041521979665059557 + 0.0im
-6.644468462342412 + 0.0im	0.00041692362097255157 + 0.0im
-6.628760499074463 + 0.0im	0.0004186380288429898 + 0.0im
-6.613052535806514 + 0.0im	0.0004203631087282079 + 0.0im
-6.5973445725385655 + 0.0im	0.0004220989500274212 + 0.0im
-6.581636609270617 + 0.0im	0.00042384564308466956 + 0.0im
-6.565928646002668 + 0.0im	0.0004256032792009334 + 0.0im
-6.550220682734719 + 0.0im	0.00042737195064637234 + 0.0im
-6.53451271946677 + 0.0im	0.0004291517506728228 + 0.0im
-6.51880475619882 + 0.0im	0.00043094277352643363 + 0.0im
-6.503096792930871 + 0.0im	0.0004327451144604938 + 0.0im
-6.4873888296629225 + 0.0im	0.00043455886974850286 + 0.0im
-6.471680866394974 + 0.0im	0.000436384136697372 + 0.0im
-6.455972903127025 + 0.0im	0.000438221013660882 + 0.0im
-6.440264939859076 + 0.0im	0.00044006960005333034 + 0.0im
-6.424556976591127 + 0.0im	0.00044192999636336305 + 0.0im
-6.408849013323178 + 0.0im	0.00044380230416806886 + 0.0im
-6.393141050055229 + 0.0im	0.00044568662614724217 + 0.0im
-6.37743308678728 + 0.0im	0.00044758306609789543 + 0.0im
-6.3617251235193315 + 0.0im	0.00044949172894898646 + 0.0im
-6.346017160251382 + 0.0im	0.00045141272077637803 + 0.0im
-6.330309196983433 + 0.0im	0.000453346148818021 + 0.0im
-6.314601233715484 + 0.0im	0.0004552921214893958 + 0.0im
-6.298893270447535 + 0.0im	0.0004572507483991656 + 0.0im
-6.283185307179586 + 0.0im	0.0004592221403651022 + 0.0im
-6.267477343911637 + 0.0im	0.00046120640943024175 + 0.0im
-6.2517693806436885 + 0.0im	0.00046320366887930934 + 0.0im
-6.23606141737574 + 0.0im	0.00046521403325539256 + 0.0im
-6.220353454107791 + 0.0im	0.00046723761837689083 + 0.0im
-6.204645490839841 + 0.0im	0.000469274541354721 + 0.0im
-6.188937527571892 + 0.0im	0.00047132492060979734 + 0.0im
-6.173229564303943 + 0.0im	0.0004733888758908084 + 0.0im
-6.157521601035994 + 0.0im	0.00047546652829224043 + 0.0im
-6.1418136377680455 + 0.0im	0.00047755800027274715 + 0.0im
