-9.173450548482196 + 0.0im	-7.572853755086533e-5 + 0.0im
-9.157742585214248 + 0.0im	-7.613757211258192e-5 + 0.0im
-9.142034621946298 + 0.0im	-7.654959377271092e-5 + 0.0im
-9.12632665867835 + 0.0im	-7.696463018412792e-5 + 0.0im
-9.1106186954104 + 0.0im	-7.738270931125165e-5 + 0.0im
-9.09491073214245 + 0.0im	-7.780385943419837e-5 + 0.0im
-9.079202768874502 + 0.0im	-7.82281091529974e-5 + 0.0im
-9.063494805606553 + 0.0im	-7.865548739187412e-5 + 0.0im
-9.047786842338605 + 0.0im	-7.908602340359995e-5 + 0.0im
-9.032078879070655 + 0.0im	-7.95197467739056e-5 + 0.0im
-9.016370915802707 + 0.0im	-7.99566874259691e-5 + 0.0im
-9.000662952534757 + 0.0im	-8.039687562496936e-5 + 0.0im
-8.984954989266809 + 0.0im	-8.084034198271352e-5 + 0.0im
-8.96924702599886 + 0.0im	-8.128711746233505e-5 + 0.0im
-8.953539062730911 + 0.0im	-8.173723338306799e-5 + 0.0im
-8.937831099462962 + 0.0im	-8.219072142509422e-5 + 0.0im
-8.922123136195012 + 0.0im	-8.264761363446713e-5 + 0.0im
-8.906415172927064 + 0.0im	-8.310794242811541e-5 + 0.0im
-8.890707209659114 + 0.0im	-8.357174059892602e-5 + 0.0im
-8.874999246391166 + 0.0im	-8.403904132090343e-5 + 0.0im
-8.859291283123216 + 0.0im	-8.45098781544167e-5 + 0.0im
-8.843583319855268 + 0.0im	-8.498428505152812e-5 + 0.0im
-8.827875356587318 + 0.0im	-8.546229636140706e-5 + 0.0im
-8.81216739331937 + 0.0im	-8.594394683582872e-5 + 0.0im
-8.79645943005142 + 0.0im	-8.642927163476417e-5 + 0.0im
-8.780751466783471 + 0.0im	-8.691830633206128e-5 + 0.0im
-8.765043503515523 + 0.0im	-8.741108692121158e-5 + 0.0im
-8.749335540247573 + 0.0im	-8.790764982121688e-5 + 0.0im
-8.733627576979625 + 0.0im	-8.840803188254849e-5 + 0.0im
-8.717919613711675 + 0.0im	-8.89122703932002e-5 + 0.0im
-8.702211650443727 + 0.0im	-8.942040308484618e-5 + 0.0im
-8.686503687175778 + 0.0im	-8.993246813909473e-5 + 0.0im
-8.67079572390783 + 0.0im	-9.044850419384513e-5 + 0.0im
-8.65508776063988 + 0.0im	-9.096855034974943e-5 + 0.0im
-8.63937979737193 + 0.0im	-9.149264617678028e-5 + 0.0im
-8.623671834103982 + 0.0im	-9.202083172090758e-5 + 0.0im
-8.607963870836032 + 0.0im	-9.255314751088378e-5 + 0.0im
-8.592255907568084 + 0.0im	-9.308963456514236e-5 + 0.0im
-8.576547944300135 + 0.0im	-9.363033439881293e-5 + 0.0im
-8.560839981032187 + 0.0im	-9.41752890308471e-5 + 0.0im
-8.545132017764237 + 0.0im	-9.47245409912708e-5 + 0.0im
-8.529424054496289 + 0.0im	-9.527813332855102e-5 + 0.0im
-8.51371609122834 + 0.0im	-9.583610961709071e-5 + 0.0im
-8.498008127960391 + 0.0im	-9.639851396484457e-5 + 0.0im
-8.482300164692441 + 0.0im	-9.696539102107093e-5 + 0.0im
-8.466592201424492 + 0.0im	-9.753678598420401e-5 + 0.0im
